title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
NM_015918.3 0.1940 0.3955 0.3197 0.3684 0.071 -0.028 0.369 52.49 0.594 0.513 160 163 -0.149693 0.098160 
NM_003091.3 0.3263 0.3000 0.2474 0.2568 0.081 0.127 0.421 54.72 0.486 0.599 214 231 -0.271429 0.025974 
NM_170607.2 0.2096 0.5240 0.1325 0.4273 0.099 0.059 0.437 48.87 0.730 0.576 293 298 -0.734228 0.067114 
NM_015966.2 0.2359 0.4452 0.1507 0.4844 0.084 -0.049 0.381 49.73 0.697 0.543 370 383 -0.244909 0.093995 
NM_004804.2 0.3004 0.4396 0.1333 0.3766 0.098 -0.002 0.393 48.69 0.645 0.580 321 339 -0.412979 0.094395 
NM_002869.4 0.3540 0.2671 0.3671 0.2847 0.093 0.005 0.412 57.55 0.422 0.444 199 208 -0.413462 0.086538 
NM_004214.4 0.1592 0.5329 0.1285 0.4664 0.073 0.002 0.391 42.05 0.773 0.570 343 357 -0.196078 0.103641 
NM_031953.2 0.3713 0.2769 0.3546 0.3293 0.116 0.036 0.428 53.32 0.444 0.427 810 840 -0.466548 0.090476 
NM_006402.2 0.3099 0.2958 0.2391 0.3588 0.071 -0.036 0.355 53.95 0.536 0.563 166 173 -0.199422 0.017341 
NM_018128.4 0.3670 0.2710 0.3246 0.3237 0.095 -0.007 0.387 56.00 0.458 0.479 767 804 -0.592413 0.080846 
NM_001130.5 0.1458 0.5556 0.1355 0.4662 0.081 0.055 0.419 41.71 0.780 0.591 191 197 -0.554822 0.045685 
NM_018366.2 0.1029 0.5543 0.0511 0.4855 0.040 -0.108 0.279 37.05 0.870 0.697 208 217 -0.358986 0.064516 
NM_004637.5 0.2342 0.4051 0.2781 0.4043 0.091 -0.061 0.380 48.50 0.605 0.498 200 207 -0.377295 0.101449 
NM_080867.2 0.4533 0.2295 0.4066 0.2092 0.126 0.002 0.406 54.32 0.330 0.404 424 440 -0.656136 0.081818 
NM_006777.3 0.4963 0.1863 0.3569 0.2357 0.120 -0.039 0.396 51.24 0.316 0.395 659 672 -0.448363 0.061012 
NM_199069.1 0.1859 0.4167 0.1701 0.4173 0.045 -0.015 0.350 49.98 0.695 0.623 177 184 -0.184239 0.065217 
NM_015907.2 0.3373 0.3108 0.2935 0.2944 0.093 0.041 0.410 58.15 0.482 0.498 498 519 -0.172254 0.071291 
NM_002642.3 0.3755 0.3061 0.1900 0.3547 0.095 0.011 0.395 47.90 0.523 0.486 281 297 0.476094 0.138047 
NM_019069.3 0.4519 0.2111 0.3782 0.2217 0.118 -0.033 0.387 49.12 0.333 0.409 318 330 -0.267273 0.090909 
NM_007375.3 0.4043 0.2377 0.3344 0.2877 0.093 -0.036 0.369 52.24 0.408 0.471 390 414 -0.534541 0.086957 
NM_002939.3 0.0981 0.5491 0.0659 0.5227 0.042 -0.136 0.272 37.87 0.865 0.648 452 461 0.057701 0.028200 
NM_203376.1 0.3333 0.3188 0.1960 0.4086 0.094 0.035 0.416 51.89 0.568 0.493 250 255 0.124314 0.090196 
NM_006117.2 0.3649 0.2667 0.3646 0.2672 0.107 -0.010 0.390 53.87 0.416 0.443 351 364 -0.330220 0.079670 
NM_014908.3 0.1957 0.4426 0.1663 0.3708 0.068 0.038 0.398 46.89 0.684 0.559 512 538 0.827509 0.115242 
NM_015235.2 0.3621 0.2140 0.3033 0.3012 0.064 -0.004 0.357 51.80 0.429 0.542 585 616 -0.454708 0.022727 
NM_002312.3 0.5094 0.1626 0.4238 0.2097 0.140 0.038 0.435 46.45 0.273 0.378 873 911 -0.399451 0.087816 
NM_016202.2 0.0800 0.5800 0.0567 0.4500 0.031 -0.109 0.259 35.47 0.882 0.748 170 172 -0.829070 0.046512 
NM_207122.1 0.3201 0.3893 0.2278 0.3298 0.120 0.079 0.450 55.00 0.558 0.498 685 718 -0.202368 0.111421 
NM_207040.1 0.4153 0.2529 0.3639 0.1689 0.107 0.048 0.408 54.46 0.349 0.462 495 512 -0.790234 0.046875 
NM_004436.2 0.2105 0.4474 0.3000 0.3776 0.115 0.139 0.479 46.67 0.607 0.529 117 121 -1.247107 0.041322 
NM_032815.3 0.2119 0.3612 0.1889 0.4221 0.051 -0.032 0.333 52.14 0.660 0.613 409 419 -0.682100 0.033413 
NM_002730.3 0.1985 0.5496 0.1496 0.4464 0.105 0.029 0.429 45.47 0.734 0.532 338 351 -0.409402 0.128205 
NM_003150.3 0.2620 0.3975 0.2245 0.4219 0.082 -0.018 0.393 50.36 0.619 0.512 727 769 -0.402861 0.085826 
NM_007008.2 0.4037 0.2547 0.2727 0.3237 0.116 0.068 0.440 54.00 0.446 0.429 193 199 0.358794 0.105528 
NM_016607.3 0.4749 0.2140 0.3004 0.2792 0.116 0.061 0.427 52.43 0.378 0.434 365 379 -0.325857 0.076517 
NM_022768.4 0.3230 0.3230 0.2228 0.3131 0.069 0.009 0.355 53.32 0.534 0.566 961 977 -0.873900 0.059365 
NM_006759.3 0.4134 0.2104 0.3995 0.2571 0.111 -0.025 0.394 51.59 0.354 0.399 495 508 -0.293307 0.076772 
NM_000454.4 0.3672 0.2656 0.3220 0.3028 0.102 -0.028 0.388 52.87 0.441 0.498 152 154 -0.343507 0.032468 
NM_012300.2 0.3552 0.3054 0.3013 0.2997 0.110 0.051 0.432 55.39 0.467 0.464 518 542 -0.301292 0.079336 
NM_006936.2 0.0972 0.4722 0.1139 0.6622 0.074 0.013 0.424 33.00 0.838 0.583  99 103 -0.828155 0.058252 
NM_001001795.1 0.0781 0.5729 0.0303 0.4939 0.033 -0.106 0.265 34.82 0.905 0.715 211 216 -0.236111 0.111111 
NM_138417.2 0.2148 0.3960 0.1448 0.4316 0.048 -0.040 0.323 48.30 0.695 0.623 347 354 -0.296045 0.062147 
NM_016099.2 0.3267 0.3267 0.2963 0.3636 0.075 0.007 0.410 58.52 0.515 0.479 134 137 -0.521168 0.094891 
NM_006545.4 0.1959 0.5169 0.1538 0.4553 0.086 -0.009 0.411 41.61 0.726 0.542 372 380 -0.213158 0.084211 
NM_022060.2 0.2536 0.4022 0.2072 0.3707 0.074 -0.029 0.370 52.62 0.618 0.552 319 342 -0.313450 0.102339 
NM_016028.4 0.4139 0.2384 0.4281 0.2444 0.115 0.016 0.409 52.44 0.360 0.409 381 393 -0.851399 0.086514 
NM_003678.4 0.2584 0.4095 0.1981 0.4492 0.084 -0.027 0.381 49.89 0.648 0.526 659 683 -0.587994 0.076135 
NM_017829.5 0.1844 0.4437 0.1528 0.4429 0.051 -0.090 0.312 44.82 0.720 0.598 375 393 -0.111450 0.083969 
NM_024072.3 0.1352 0.4963 0.1141 0.5007 0.051 -0.065 0.328 37.44 0.797 0.636 862 881 -0.678888 0.056754 
NM_004634.2 0.2195 0.4714 0.1769 0.4171 0.076 -0.032 0.370 44.93 0.687 0.575 1173 1214 -0.876359 0.061779 
NM_019103.2 0.1406 0.4922 0.1760 0.4754 0.070 0.031 0.385 40.92 0.752 0.608 161 170 -0.859412 0.100000 
NM_014628.2 0.2607 0.3934 0.2523 0.3413 0.060 -0.084 0.323 55.24 0.586 0.552 263 274 -0.253650 0.094891 
NM_032431.2 0.2311 0.4835 0.1450 0.3136 0.078 0.022 0.378 42.44 0.676 0.605 580 616 0.089935 0.097403 
NM_001499.2 0.2593 0.3890 0.2620 0.3888 0.079 0.007 0.393 52.08 0.593 0.532 626 659 -0.642640 0.068285 
NM_002138.3 0.3105 0.2603 0.3429 0.3660 0.067 -0.077 0.349 61.00 0.485 0.511 295 306 -0.811111 0.078431 
NM_001685.4 0.4177 0.2785 0.3133 0.3117 0.091 -0.050 0.381 50.74 0.438 0.429 105 108 -0.477778 0.111111 
NM_080476.4 0.2686 0.4415 0.1942 0.3284 0.104 0.055 0.435 49.15 0.613 0.478 416 435 0.911724 0.183908 
NM_006805.3 0.2115 0.5538 0.0759 0.3636 0.067 -0.037 0.346 42.39 0.757 0.645 301 305 -0.593771 0.101639 
NM_002105.2 0.0431 0.6034 0.0472 0.5041 0.043 -0.071 0.310 28.99 0.923 0.702 142 143 -0.361539 0.034965 
NM_006986.3 0.3394 0.3674 0.2375 0.2832 0.115 0.093 0.436 53.47 0.524 0.548 731 778 -0.597558 0.092545 
NM_001533.2 0.2459 0.4508 0.1620 0.3937 0.083 0.038 0.405 47.92 0.668 0.580 573 589 -0.648557 0.086587 
NM_017838.3 0.1892 0.4595 0.1789 0.4783 0.054 -0.086 0.349 41.28 0.711 0.571 149 153 -0.454248 0.052288 
NM_016496.4 0.1408 0.5049 0.1158 0.4615 0.053 -0.071 0.331 42.96 0.787 0.630 239 246 -0.040244 0.069106 
NM_005112.4 0.1751 0.5431 0.1205 0.4123 0.102 0.063 0.447 43.54 0.758 0.575 450 466 -0.209013 0.085837 
NM_004435.2 0.0745 0.5294 0.0847 0.5088 0.036 -0.091 0.293 35.77 0.866 0.688 290 297 -0.309091 0.080808 
NM_003400.3 0.4741 0.1798 0.4315 0.2206 0.125 0.019 0.428 47.60 0.294 0.371 1019 1071 -0.091690 0.091503 
NM_018412.3 0.3049 0.3004 0.3802 0.2718 0.101 0.043 0.412 56.53 0.450 0.460 527 554 -0.075451 0.117329 
NM_003352.4 0.4848 0.1818 0.4103 0.2877 0.123 -0.011 0.423 45.68 0.340 0.403  97 101 -0.915842 0.059406 
NM_001007068.1 0.4664 0.2017 0.3421 0.2273 0.123 0.092 0.461 49.58 0.330 0.421 282 292 -0.062671 0.051370 
NM_006842.2 0.3031 0.3193 0.2124 0.4455 0.075 -0.018 0.374 47.66 0.599 0.561 861 895 -0.986704 0.049162 
NM_020946.1 0.2118 0.4501 0.1887 0.3607 0.067 -0.008 0.363 48.67 0.666 0.586 984 1009 -0.372646 0.070367 
NM_033089.6 0.0779 0.5358 0.0831 0.5382 0.039 -0.130 0.280 35.28 0.868 0.694 393 403 -0.555831 0.069479 
NM_018321.3 0.4039 0.1922 0.4302 0.2963 0.113 0.004 0.408 51.71 0.358 0.408 338 353 -0.747026 0.084986 
NM_004871.2 0.3284 0.2388 0.4054 0.2882 0.070 -0.075 0.340 52.35 0.408 0.432 238 250 -0.525200 0.060000 
NM_000994.3 0.1961 0.5392 0.2212 0.3368 0.152 0.212 0.523 39.58 0.669 0.506 130 135 -0.767408 0.059259 
NM_024707.2 0.2545 0.3818 0.1852 0.3824 0.064 -0.064 0.326 48.01 0.628 0.601 129 131 -0.183969 0.068702 
NM_014955.2 0.2495 0.3816 0.1614 0.4690 0.075 -0.019 0.371 49.58 0.668 0.566 590 613 -0.198532 0.068515 
NM_004499.3 0.2885 0.3990 0.2143 0.4019 0.082 -0.049 0.368 50.02 0.610 0.549 277 285 -0.888070 0.073684 
NM_003563.3 0.3392 0.3357 0.2926 0.3256 0.103 0.000 0.395 56.64 0.506 0.480 354 374 -0.243850 0.090909 
NM_004586.2 0.4774 0.1672 0.4111 0.2171 0.114 0.021 0.412 49.29 0.293 0.410 711 740 -0.338378 0.090541 
NM_024100.3 0.0782 0.5782 0.0663 0.4937 0.044 -0.075 0.326 36.49 0.879 0.656 414 432 -0.047454 0.067130 
NM_017836.3 0.1957 0.4251 0.1696 0.3918 0.062 -0.012 0.366 46.65 0.683 0.572 467 487 0.592197 0.080082 
NM_014170.2 0.2944 0.2857 0.3516 0.3235 0.074 -0.047 0.361 55.52 0.477 0.471 277 284 -0.082395 0.091549 
NM_003663.3 0.4198 0.2519 0.2992 0.3171 0.088 -0.024 0.382 55.55 0.436 0.471 165 167 -0.674252 0.053892 
NM_007157.3 0.2267 0.4385 0.1690 0.3764 0.059 -0.058 0.330 48.27 0.670 0.605 789 803 -0.375592 0.058531 
NM_030573.2 0.1560 0.4800 0.1873 0.3902 0.054 -0.079 0.298 43.35 0.715 0.639 302 309 -0.755016 0.064725 
NM_024117.3 0.3369 0.3396 0.3079 0.3185 0.100 -0.021 0.400 54.31 0.495 0.462 473 486 -0.558230 0.074074 
NM_021184.3 0.2375 0.3125 0.2016 0.4065 0.057 0.014 0.333 49.66 0.621 0.620 282 294 -0.481973 0.047619 
NM_000837.1 0.1420 0.5899 0.1250 0.3730 0.086 0.076 0.439 38.57 0.781 0.599 360 371 0.006469 0.153639 
NM_005962.4 0.2874 0.3391 0.3098 0.3237 0.076 -0.015 0.374 53.98 0.518 0.506 222 228 -0.928070 0.035088 
NM_006570.4 0.2459 0.4713 0.1455 0.4619 0.104 0.058 0.446 45.55 0.691 0.514 298 313 -0.247923 0.099042 
NM_014145.4 0.3119 0.4220 0.1868 0.2727 0.100 0.012 0.398 52.39 0.568 0.497 118 120 0.300833 0.133333 
NM_022149.4 0.2078 0.3896 0.1573 0.4958 0.058 -0.089 0.306 49.59 0.704 0.586 294 307 -0.619544 0.081433 
NM_000455.4 0.0928 0.5599 0.0881 0.5592 0.073 0.040 0.420 36.90 0.856 0.614 417 433 -0.463049 0.073903 
NM_177401.4 0.0980 0.5754 0.0852 0.3974 0.045 -0.090 0.287 36.08 0.840 0.700 457 468 -0.428632 0.029915 
NM_017797.3 0.0785 0.5874 0.0683 0.4872 0.054 -0.079 0.332 35.83 0.878 0.669 515 525 -0.078095 0.081905 
NM_001206.2 0.1818 0.5101 0.1429 0.4157 0.084 0.069 0.422 45.23 0.738 0.607 237 244 -0.813115 0.061475 
NM_007279.2 0.1707 0.5253 0.0914 0.4738 0.072 -0.010 0.383 40.59 0.788 0.606 457 475 -0.589053 0.071579 
NM_138457.2 0.1451 0.5294 0.1166 0.4389 0.051 -0.091 0.309 38.90 0.786 0.642 645 667 -0.582909 0.046477 
NM_001921.2 0.3357 0.3357 0.2667 0.3981 0.113 -0.039 0.396 54.68 0.533 0.457 169 178 -0.272472 0.095506 
NM_001328.2 0.1203 0.5481 0.0754 0.4766 0.065 -0.021 0.364 37.93 0.834 0.651 429 440 -0.100000 0.047727 
NM_031216.3 0.4508 0.2169 0.3282 0.2324 0.115 0.025 0.417 53.70 0.355 0.449 338 360 -0.357500 0.080556 
NM_001013663.1 0.1698 0.4057 0.1982 0.4722 0.073 0.097 0.433 53.18 0.701 0.598 134 140 -0.275000 0.071429 
NM_032804.5 0.0667 0.5867 0.0718 0.4950 0.049 -0.032 0.337 32.70 0.885 0.691 261 270 -0.495556 0.066667 
NM_004356.3 0.1407 0.6131 0.0485 0.4726 0.108 0.073 0.458 36.39 0.841 0.573 227 236 0.689407 0.114407 
NM_005163.2 0.1408 0.5915 0.0627 0.5287 0.080 0.018 0.416 36.87 0.842 0.597 457 480 -0.574792 0.108333 
NM_002906.3 0.4472 0.1816 0.4730 0.2552 0.141 0.042 0.438 52.66 0.317 0.402 562 583 -1.006518 0.068611 
NM_001985.2 0.1606 0.4145 0.0963 0.5735 0.068 -0.009 0.390 39.55 0.791 0.613 249 255 -0.115294 0.023529 
NM_006234.4 0.1236 0.5955 0.2308 0.3924 0.118 0.084 0.474 46.91 0.724 0.519 116 117 -0.285470 0.076923 
NM_015921.2 0.2362 0.3937 0.1579 0.3920 0.084 0.017 0.393 47.48 0.660 0.571 150 156 0.235897 0.057692 
NM_002408.3 0.3039 0.3812 0.2145 0.3746 0.097 0.025 0.407 52.03 0.584 0.514 428 447 -0.318344 0.118568 
NM_005645.3 0.4828 0.1494 0.4783 0.2235 0.143 0.125 0.483 40.61 0.271 0.395 118 124 -0.773387 0.080645 
NM_153232.3 0.1809 0.3417 0.2139 0.4404 0.035 -0.089 0.276 50.76 0.659 0.648 232 236 -0.441949 0.042373 
NM_177938.2 0.1776 0.4737 0.1348 0.4494 0.054 -0.037 0.353 42.50 0.743 0.622 536 563 -0.415453 0.078153 
NM_015640.3 0.3699 0.2568 0.3633 0.2791 0.095 0.047 0.405 57.04 0.418 0.521 380 387 -1.295090 0.041344 
NM_006118.3 0.3377 0.3290 0.2970 0.2821 0.082 -0.063 0.335 53.33 0.487 0.539 269 279 -0.969534 0.111111 
NM_031940.3 0.3846 0.2867 0.3190 0.2667 0.116 0.086 0.453 61.00 0.429 0.450 161 171 0.332164 0.111111 
NM_014676.2 0.3643 0.3137 0.2752 0.2757 0.081 -0.008 0.374 55.34 0.474 0.518 1155 1186 -0.396037 0.066610 
NM_020806.4 0.3714 0.2571 0.3746 0.2089 0.101 0.024 0.408 56.21 0.376 0.474 743 769 -0.201690 0.036411 
NM_145271.3 0.1384 0.4509 0.1667 0.4444 0.047 -0.028 0.332 41.54 0.743 0.678 265 276 -0.798188 0.068841 
NM_002485.4 0.4263 0.1691 0.4828 0.2196 0.119 0.004 0.415 48.00 0.291 0.383 731 754 -0.698408 0.062334 
NM_018261.3 0.4402 0.2331 0.4179 0.2295 0.111 -0.027 0.394 52.49 0.342 0.402 862 894 -0.430313 0.074944 
NM_194283.3 0.4301 0.2296 0.4262 0.3034 0.114 -0.082 0.361 52.95 0.383 0.430 554 576 -1.255729 0.078125 
NM_006758.2 0.3177 0.3646 0.2164 0.3963 0.094 0.038 0.403 52.70 0.579 0.539 233 240 -1.063750 0.091667 
NM_014409.3 0.2634 0.4424 0.1981 0.3514 0.088 0.013 0.398 53.94 0.627 0.528 571 589 -0.362988 0.091681 
NM_001090.2 0.2569 0.3908 0.2217 0.4631 0.076 -0.042 0.374 49.95 0.638 0.539 787 807 -0.895787 0.055762 
NM_006460.2 0.1606 0.4538 0.1509 0.5371 0.055 -0.040 0.348 44.21 0.761 0.625 348 359 -1.274930 0.061281 
NM_001948.3 0.3630 0.3037 0.3077 0.2583 0.081 -0.034 0.366 52.54 0.447 0.514 161 164 -0.337805 0.085366 
NM_031443.3 0.2027 0.4548 0.1514 0.4462 0.075 -0.004 0.388 46.48 0.710 0.572 438 444 -0.344595 0.060811 
NM_139281.2 0.4186 0.2119 0.3900 0.2231 0.094 0.006 0.396 52.83 0.340 0.426 915 951 -0.089064 0.080967 
NM_007075.3 0.2442 0.4851 0.1264 0.4000 0.097 0.061 0.435 42.95 0.696 0.558 352 361 -0.152078 0.080332 
NM_001128.5 0.3741 0.2519 0.3596 0.2547 0.095 0.003 0.396 55.13 0.398 0.441 791 822 -0.111679 0.057178 
NM_017944.3 0.4742 0.1818 0.4034 0.2533 0.118 -0.013 0.398 48.42 0.324 0.404 1244 1287 -0.643978 0.088578 
NM_001173.2 0.4892 0.1613 0.4577 0.2109 0.127 -0.038 0.392 47.93 0.272 0.374 1466 1501 -0.590406 0.084610 
NM_022734.2 0.3415 0.2737 0.2722 0.3201 0.078 -0.001 0.358 56.23 0.489 0.533 438 456 -0.261623 0.076754 
NM_000382.2 0.4105 0.2658 0.2876 0.3183 0.087 -0.022 0.394 52.98 0.440 0.451 470 485 -0.076083 0.090722 
NM_013247.4 0.2804 0.3151 0.1760 0.3713 0.061 0.001 0.359 51.80 0.592 0.600 446 458 -0.055677 0.050218 
NM_005710.2 0.1923 0.4615 0.2323 0.3949 0.080 0.021 0.386 49.30 0.668 0.594 259 265 -1.510944 0.060377 
NM_004501.3 0.3713 0.2867 0.3350 0.3261 0.083 -0.040 0.369 55.19 0.461 0.497 781 806 -0.977171 0.079404 
NM_015962.4 0.3490 0.2819 0.4155 0.2868 0.144 0.084 0.458 56.85 0.416 0.418 190 198 -0.669697 0.080808 
NM_033420.3 0.0769 0.6302 0.0475 0.4908 0.058 -0.043 0.359 32.99 0.897 0.632 387 408 0.065196 0.120098 
NM_001033088.1 0.2500 0.3214 0.2521 0.4060 0.065 -0.028 0.352 59.69 0.588 0.549 284 291 -0.738144 0.054983 
NM_006369.4 0.2537 0.3791 0.1970 0.3553 0.063 -0.008 0.344 49.45 0.615 0.591 785 812 -0.155049 0.062808 
NM_020889.2 0.2570 0.4102 0.2266 0.3415 0.091 0.032 0.404 53.68 0.603 0.556 686 704 -0.599574 0.031250 
NM_002745.4 0.2740 0.3938 0.2885 0.3556 0.115 0.126 0.477 54.62 0.560 0.476 348 360 -0.286667 0.097222 
NM_001324.2 0.3603 0.3296 0.3107 0.2598 0.102 0.002 0.409 59.77 0.459 0.465 416 431 -0.329698 0.085847 
NM_016494.3 0.2821 0.4017 0.2000 0.4412 0.075 -0.026 0.377 61.00 0.630 0.540 146 153 -0.714379 0.071895 
NM_016589.3 0.3901 0.2377 0.3378 0.2933 0.076 -0.064 0.350 55.88 0.412 0.483 277 285 -0.372631 0.094737 
NM_015035.3 0.2664 0.4030 0.2421 0.3444 0.088 -0.030 0.376 51.82 0.590 0.540 924 956 -0.567469 0.057531 
NM_003252.3 0.4336 0.2028 0.4596 0.1829 0.106 -0.018 0.398 49.55 0.297 0.433 354 375 -0.537600 0.114667 
NM_176867.3 0.3876 0.2558 0.3306 0.3167 0.091 0.024 0.401 58.41 0.438 0.470 162 168 -0.496429 0.101190 
NM_015636.3 0.3047 0.2826 0.2698 0.3576 0.075 -0.012 0.365 53.33 0.524 0.540 510 522 -0.363218 0.045977 
NM_002810.2 0.3438 0.3611 0.1797 0.3871 0.095 0.010 0.401 51.75 0.582 0.537 364 377 -0.457029 0.034483 
NM_001035505.1 0.3133 0.3373 0.2987 0.2464 0.081 0.047 0.404 54.36 0.479 0.521  94 101 -0.133663 0.079208 
NM_003001.3 0.3662 0.3028 0.1732 0.3305 0.089 0.101 0.423 58.06 0.526 0.513 156 169 0.447337 0.082840 
NM_001033583.2 0.3680 0.2552 0.3051 0.3397 0.096 0.025 0.408 57.16 0.460 0.456 417 439 -0.292939 0.084282 
NM_153681.2 0.3386 0.3071 0.3814 0.2095 0.125 0.075 0.443 50.12 0.409 0.414 149 158 0.305063 0.145570 
NM_003751.3 0.2397 0.4198 0.1869 0.4640 0.076 -0.038 0.382 51.94 0.667 0.554 777 814 -0.632187 0.097052 
NM_001207.4 0.3802 0.2397 0.3672 0.2975 0.100 -0.029 0.386 52.54 0.411 0.444 158 162 -0.569753 0.030864 
NM_001568.2 0.4506 0.2238 0.3689 0.2772 0.121 0.034 0.428 49.07 0.367 0.398 425 445 -0.326966 0.114607 
NM_030579.2 0.3162 0.3846 0.3070 0.2500 0.106 0.060 0.431 61.00 0.500 0.496 144 150 -0.488000 0.100000 
NM_002911.3 0.1500 0.5250 0.0993 0.4988 0.064 -0.044 0.366 40.92 0.799 0.606 1085 1118 -0.358587 0.076029 
NM_018279.3 0.3986 0.2343 0.3062 0.2457 0.101 0.067 0.429 53.24 0.391 0.444 317 336 0.481250 0.107143 
NM_001039697.1 0.3552 0.3045 0.3077 0.3358 0.101 -0.017 0.386 55.87 0.481 0.484 399 411 -0.451582 0.104623 
NM_006643.3 0.2400 0.3938 0.1933 0.4286 0.064 -0.028 0.361 52.02 0.651 0.570 404 412 -0.594175 0.065534 
NM_006706.3 0.4058 0.2107 0.3916 0.2540 0.101 -0.010 0.388 53.17 0.364 0.474 1047 1098 -0.868033 0.058288 
NM_025141.3 0.3021 0.4010 0.2026 0.3147 0.091 0.078 0.436 57.41 0.578 0.526 211 221 0.160633 0.117647 
