Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_024996.5 751 724 0.440 0.367 0.475 0.542 0.389 0.390 0.166 0.284 0.318 0.185 0.217 0.186 0.292 0.328 0.292 0.357 0.172 0.204
NM_032112.2 159 157 0.644 0.815 0.559 0.648 0.465 0.818 0.138 0.264 0.094 0.314 0.220 0.447 0.214 0.270 0.088 0.333 0.245 0.371
NM_020409.2 250 239 0.425 0.351 0.460 0.500 0.396 0.380 0.196 0.276 0.268 0.240 0.200 0.160 0.304 0.328 0.352 0.260 0.196 0.220
NM_016086.2 313 302 0.485 0.586 0.436 0.521 0.332 0.601 0.188 0.307 0.249 0.243 0.179 0.358 0.291 0.361 0.150 0.278 0.153 0.243
NM_182523.1 106 101 0.390 0.337 0.415 0.472 0.330 0.368 0.170 0.245 0.264 0.179 0.179 0.170 0.358 0.425 0.368 0.292 0.151 0.198
NM_002592.2 261 250 0.465 0.484 0.456 0.536 0.352 0.506 0.176 0.314 0.238 0.172 0.207 0.276 0.287 0.333 0.257 0.364 0.146 0.230
NM_007013.3 922 886 0.405 0.290 0.459 0.478 0.418 0.318 0.218 0.239 0.343 0.184 0.240 0.139 0.304 0.344 0.339 0.294 0.178 0.179
NM_145265.2 260 246 0.485 0.496 0.479 0.558 0.373 0.523 0.162 0.258 0.231 0.238 0.165 0.227 0.281 0.369 0.246 0.319 0.208 0.296
NM_145914.2 473 461 0.529 0.584 0.502 0.567 0.425 0.594 0.156 0.186 0.197 0.277 0.205 0.292 0.277 0.389 0.209 0.290 0.220 0.302
NM_058167.2 259 252 0.538 0.643 0.488 0.548 0.413 0.653 0.151 0.290 0.201 0.263 0.236 0.332 0.301 0.297 0.147 0.286 0.178 0.320
NM_003422.2 734 721 0.674 0.773 0.626 0.713 0.533 0.777 0.132 0.195 0.131 0.388 0.240 0.418 0.155 0.272 0.093 0.324 0.293 0.358
NM_002513.2 169 162 0.669 0.883 0.568 0.675 0.444 0.888 0.148 0.314 0.077 0.278 0.207 0.456 0.178 0.243 0.036 0.396 0.237 0.432
NM_015918.3 163 160 0.513 0.594 0.474 0.534 0.405 0.601 0.221 0.301 0.160 0.221 0.172 0.325 0.245 0.294 0.239 0.313 0.233 0.276
NM_003091.3 231 214 0.599 0.486 0.649 0.675 0.597 0.524 0.056 0.242 0.268 0.307 0.325 0.247 0.268 0.160 0.208 0.368 0.273 0.277
NM_170607.2 298 293 0.576 0.730 0.501 0.574 0.419 0.735 0.161 0.215 0.161 0.232 0.232 0.403 0.265 0.366 0.104 0.342 0.188 0.332
NM_015966.2 383 370 0.543 0.697 0.470 0.585 0.337 0.708 0.162 0.308 0.185 0.240 0.178 0.350 0.253 0.355 0.107 0.345 0.159 0.358
NM_004804.2 339 321 0.580 0.645 0.550 0.587 0.490 0.664 0.218 0.206 0.242 0.227 0.239 0.354 0.195 0.304 0.094 0.360 0.251 0.310
NM_002869.4 208 199 0.444 0.422 0.454 0.495 0.389 0.447 0.149 0.288 0.274 0.159 0.188 0.207 0.356 0.322 0.279 0.337 0.202 0.240
NM_004214.4 357 343 0.570 0.773 0.475 0.605 0.325 0.782 0.162 0.339 0.129 0.277 0.165 0.431 0.232 0.336 0.090 0.328 0.160 0.350
NM_031953.2 840 810 0.427 0.444 0.418 0.513 0.302 0.464 0.175 0.304 0.271 0.218 0.152 0.202 0.312 0.394 0.264 0.295 0.150 0.262
NM_006402.2 173 166 0.563 0.536 0.575 0.642 0.491 0.555 0.145 0.254 0.254 0.249 0.266 0.243 0.214 0.254 0.191 0.393 0.225 0.312
NM_018128.4 804 767 0.479 0.458 0.489 0.588 0.367 0.483 0.144 0.276 0.271 0.249 0.193 0.200 0.267 0.357 0.246 0.340 0.174 0.282
NM_001130.5 197 191 0.591 0.780 0.500 0.629 0.355 0.787 0.162 0.254 0.107 0.350 0.234 0.406 0.208 0.391 0.107 0.279 0.122 0.381
NM_018366.2 217 208 0.697 0.870 0.616 0.700 0.516 0.876 0.115 0.235 0.083 0.258 0.263 0.447 0.184 0.249 0.041 0.442 0.253 0.429
NM_004637.5 207 200 0.498 0.605 0.447 0.507 0.367 0.618 0.159 0.275 0.179 0.174 0.208 0.309 0.333 0.357 0.203 0.333 0.159 0.309
NM_080867.2 440 424 0.404 0.330 0.439 0.457 0.400 0.355 0.223 0.243 0.364 0.207 0.205 0.184 0.320 0.357 0.282 0.250 0.195 0.170
NM_006777.3 672 659 0.395 0.316 0.433 0.470 0.385 0.329 0.196 0.262 0.400 0.188 0.253 0.150 0.333 0.353 0.271 0.283 0.132 0.179
NM_199069.1 184 177 0.623 0.695 0.589 0.663 0.500 0.707 0.152 0.272 0.158 0.342 0.272 0.353 0.185 0.228 0.136 0.321 0.228 0.353
NM_015907.2 519 498 0.498 0.482 0.506 0.559 0.434 0.503 0.145 0.274 0.270 0.181 0.247 0.249 0.297 0.293 0.227 0.378 0.187 0.254
NM_002642.3 297 281 0.486 0.523 0.469 0.522 0.387 0.549 0.242 0.380 0.310 0.229 0.215 0.253 0.236 0.232 0.141 0.293 0.172 0.296
NM_019069.3 330 318 0.409 0.333 0.445 0.442 0.427 0.358 0.248 0.245 0.370 0.142 0.255 0.173 0.309 0.327 0.273 0.300 0.173 0.185
NM_007375.3 414 390 0.471 0.408 0.500 0.524 0.447 0.442 0.181 0.242 0.316 0.162 0.200 0.186 0.295 0.312 0.242 0.362 0.246 0.256
NM_002939.3 461 452 0.648 0.865 0.542 0.646 0.430 0.868 0.143 0.295 0.080 0.319 0.167 0.449 0.210 0.275 0.052 0.328 0.262 0.419
NM_203376.1 255 250 0.493 0.568 0.456 0.525 0.376 0.576 0.200 0.341 0.271 0.200 0.176 0.259 0.275 0.282 0.153 0.325 0.200 0.318
NM_006117.2 364 351 0.443 0.416 0.456 0.486 0.407 0.437 0.168 0.272 0.286 0.159 0.245 0.209 0.346 0.321 0.277 0.327 0.162 0.228
NM_014908.3 538 512 0.559 0.684 0.501 0.571 0.407 0.699 0.199 0.422 0.171 0.270 0.229 0.387 0.230 0.171 0.130 0.301 0.178 0.312
NM_015235.2 616 585 0.542 0.429 0.594 0.656 0.511 0.458 0.089 0.242 0.286 0.292 0.263 0.169 0.255 0.247 0.256 0.364 0.248 0.289
NM_002312.3 911 873 0.378 0.273 0.427 0.479 0.352 0.303 0.189 0.286 0.389 0.182 0.193 0.124 0.333 0.361 0.308 0.296 0.159 0.179
NM_016202.2 172 170 0.748 0.882 0.682 0.738 0.622 0.884 0.145 0.157 0.070 0.471 0.390 0.506 0.116 0.221 0.047 0.267 0.233 0.378
NM_207122.1 718 685 0.498 0.558 0.470 0.545 0.372 0.578 0.192 0.306 0.258 0.233 0.209 0.313 0.263 0.322 0.164 0.312 0.163 0.265
NM_207040.1 512 495 0.462 0.349 0.515 0.506 0.508 0.371 0.176 0.189 0.350 0.238 0.303 0.213 0.318 0.303 0.279 0.268 0.205 0.158
NM_004436.2 121 117 0.529 0.607 0.492 0.603 0.364 0.620 0.083 0.174 0.132 0.256 0.223 0.281 0.314 0.463 0.248 0.347 0.140 0.339
NM_032815.3 419 409 0.613 0.660 0.590 0.675 0.494 0.668 0.119 0.234 0.169 0.317 0.263 0.289 0.205 0.272 0.162 0.358 0.232 0.379
NM_002730.3 351 338 0.532 0.734 0.436 0.530 0.322 0.744 0.177 0.299 0.148 0.217 0.174 0.410 0.293 0.379 0.108 0.313 0.148 0.333
NM_003150.3 769 727 0.512 0.619 0.463 0.536 0.362 0.640 0.160 0.287 0.191 0.256 0.200 0.290 0.304 0.351 0.169 0.280 0.161 0.350
NM_007008.2 199 193 0.429 0.446 0.421 0.513 0.312 0.462 0.196 0.387 0.327 0.186 0.176 0.206 0.291 0.302 0.211 0.327 0.136 0.256
NM_016607.3 379 365 0.434 0.378 0.461 0.525 0.377 0.401 0.169 0.288 0.375 0.179 0.206 0.169 0.306 0.335 0.224 0.346 0.172 0.232
NM_022768.4 977 961 0.566 0.534 0.582 0.612 0.546 0.541 0.153 0.188 0.276 0.275 0.256 0.276 0.235 0.266 0.182 0.337 0.290 0.265
NM_006759.3 508 495 0.399 0.354 0.421 0.492 0.335 0.370 0.171 0.315 0.329 0.187 0.193 0.167 0.337 0.350 0.301 0.305 0.142 0.203
NM_000454.4 154 152 0.498 0.441 0.526 0.610 0.435 0.448 0.110 0.240 0.305 0.156 0.182 0.221 0.279 0.325 0.247 0.455 0.253 0.227
NM_012300.2 542 518 0.464 0.467 0.462 0.489 0.411 0.491 0.225 0.284 0.290 0.197 0.186 0.249 0.286 0.304 0.220 0.292 0.225 0.242
NM_006936.2 103 99 0.583 0.838 0.462 0.553 0.350 0.845 0.107 0.252 0.068 0.214 0.175 0.330 0.340 0.398 0.087 0.340 0.175 0.515
NM_001001795.1 216 211 0.715 0.905 0.622 0.690 0.546 0.907 0.190 0.250 0.069 0.366 0.287 0.509 0.120 0.204 0.023 0.324 0.259 0.398
NM_138417.2 354 347 0.623 0.695 0.589 0.684 0.486 0.701 0.153 0.254 0.181 0.311 0.274 0.333 0.164 0.260 0.119 0.373 0.212 0.367
NM_016099.2 137 134 0.479 0.515 0.462 0.540 0.372 0.526 0.161 0.263 0.241 0.248 0.175 0.241 0.299 0.365 0.234 0.292 0.197 0.285
NM_006545.4 380 372 0.542 0.726 0.453 0.558 0.337 0.732 0.155 0.311 0.153 0.284 0.176 0.403 0.287 0.353 0.116 0.274 0.161 0.329
NM_022060.2 342 319 0.552 0.618 0.522 0.567 0.444 0.643 0.173 0.287 0.205 0.260 0.237 0.325 0.260 0.269 0.152 0.307 0.208 0.319
NM_016028.4 393 381 0.409 0.360 0.432 0.443 0.405 0.379 0.214 0.216 0.318 0.148 0.188 0.183 0.344 0.379 0.303 0.295 0.216 0.196
NM_003678.4 683 659 0.526 0.648 0.468 0.577 0.340 0.660 0.145 0.268 0.190 0.271 0.184 0.302 0.278 0.392 0.149 0.306 0.155 0.359
NM_017829.5 393 375 0.598 0.720 0.541 0.646 0.415 0.733 0.135 0.313 0.150 0.310 0.211 0.361 0.219 0.272 0.117 0.336 0.204 0.372
NM_024072.3 881 862 0.636 0.797 0.558 0.666 0.440 0.801 0.101 0.244 0.103 0.316 0.217 0.379 0.233 0.316 0.095 0.351 0.224 0.422
NM_004634.2 1214 1173 0.575 0.687 0.522 0.595 0.433 0.698 0.136 0.208 0.167 0.284 0.217 0.359 0.269 0.359 0.135 0.311 0.216 0.339
NM_019103.2 170 161 0.608 0.752 0.542 0.618 0.441 0.765 0.171 0.224 0.106 0.335 0.200 0.371 0.212 0.335 0.129 0.282 0.241 0.394
NM_014628.2 274 263 0.552 0.586 0.537 0.613 0.442 0.602 0.175 0.274 0.201 0.310 0.252 0.303 0.212 0.285 0.197 0.303 0.190 0.299
NM_032431.2 616 580 0.605 0.676 0.573 0.623 0.497 0.695 0.157 0.305 0.193 0.328 0.347 0.404 0.219 0.198 0.112 0.295 0.149 0.291
NM_001499.2 659 626 0.532 0.593 0.503 0.610 0.372 0.613 0.162 0.253 0.179 0.296 0.209 0.269 0.228 0.375 0.208 0.314 0.162 0.344
NM_002138.3 306 295 0.511 0.485 0.523 0.569 0.461 0.503 0.147 0.183 0.222 0.134 0.222 0.186 0.284 0.356 0.275 0.435 0.239 0.317
NM_001685.4 108 105 0.429 0.438 0.425 0.509 0.324 0.454 0.185 0.324 0.306 0.213 0.204 0.204 0.306 0.352 0.241 0.296 0.120 0.250
NM_080476.4 435 416 0.478 0.613 0.415 0.478 0.326 0.630 0.271 0.453 0.232 0.216 0.218 0.382 0.251 0.221 0.138 0.262 0.108 0.248
NM_006805.3 305 301 0.645 0.757 0.590 0.636 0.538 0.761 0.177 0.177 0.180 0.161 0.174 0.472 0.187 0.285 0.059 0.475 0.364 0.289
NM_002105.2 143 142 0.702 0.923 0.592 0.692 0.490 0.923 0.077 0.231 0.035 0.308 0.280 0.490 0.231 0.280 0.042 0.385 0.210 0.434
NM_006986.3 778 731 0.548 0.524 0.559 0.590 0.501 0.553 0.143 0.203 0.265 0.269 0.333 0.287 0.267 0.296 0.183 0.321 0.168 0.266
NM_001533.2 589 573 0.580 0.668 0.537 0.604 0.457 0.677 0.160 0.214 0.204 0.250 0.222 0.374 0.236 0.329 0.119 0.355 0.234 0.304
NM_017838.3 153 149 0.571 0.711 0.503 0.621 0.373 0.719 0.137 0.255 0.137 0.281 0.229 0.333 0.242 0.373 0.144 0.340 0.144 0.386
NM_016496.4 246 239 0.630 0.787 0.555 0.589 0.508 0.793 0.203 0.256 0.118 0.293 0.264 0.423 0.207 0.236 0.089 0.297 0.244 0.370
NM_005112.4 466 450 0.575 0.758 0.488 0.552 0.408 0.766 0.161 0.268 0.148 0.187 0.191 0.459 0.288 0.324 0.086 0.365 0.217 0.307
NM_004435.2 297 290 0.688 0.866 0.602 0.707 0.488 0.869 0.114 0.249 0.064 0.320 0.242 0.455 0.178 0.263 0.067 0.387 0.246 0.414
NM_003400.3 1071 1019 0.371 0.294 0.407 0.484 0.302 0.329 0.190 0.347 0.359 0.204 0.176 0.136 0.327 0.351 0.312 0.279 0.125 0.192
NM_018412.3 554 527 0.460 0.450 0.465 0.504 0.401 0.477 0.226 0.307 0.245 0.218 0.244 0.242 0.271 0.292 0.278 0.285 0.157 0.235
NM_003352.4 101 97 0.403 0.340 0.432 0.545 0.297 0.366 0.129 0.248 0.317 0.198 0.158 0.119 0.327 0.455 0.317 0.347 0.139 0.248
NM_001007068.1 292 282 0.421 0.330 0.465 0.517 0.394 0.353 0.144 0.312 0.380 0.199 0.236 0.164 0.339 0.295 0.267 0.318 0.158 0.188
NM_006842.2 895 861 0.561 0.599 0.543 0.655 0.415 0.615 0.107 0.210 0.209 0.299 0.265 0.220 0.238 0.375 0.177 0.355 0.150 0.394
NM_020946.1 1009 984 0.586 0.666 0.548 0.613 0.471 0.674 0.130 0.257 0.174 0.316 0.298 0.371 0.257 0.273 0.152 0.297 0.172 0.303
NM_033089.6 403 393 0.694 0.868 0.610 0.682 0.529 0.871 0.122 0.201 0.062 0.241 0.226 0.427 0.196 0.270 0.067 0.442 0.303 0.444
NM_018321.3 353 338 0.408 0.358 0.431 0.484 0.354 0.385 0.164 0.269 0.292 0.221 0.201 0.139 0.351 0.377 0.323 0.263 0.153 0.246
NM_004871.2 250 238 0.432 0.408 0.443 0.464 0.396 0.436 0.148 0.280 0.264 0.208 0.188 0.192 0.388 0.324 0.300 0.256 0.208 0.244
NM_000994.3 135 130 0.506 0.669 0.429 0.467 0.370 0.681 0.111 0.274 0.148 0.222 0.163 0.407 0.422 0.356 0.170 0.244 0.207 0.274
NM_024707.2 131 129 0.601 0.628 0.587 0.702 0.466 0.634 0.130 0.290 0.214 0.351 0.260 0.321 0.168 0.244 0.153 0.351 0.206 0.313
NM_014955.2 613 590 0.566 0.668 0.517 0.631 0.385 0.680 0.147 0.310 0.194 0.277 0.196 0.297 0.222 0.305 0.126 0.354 0.189 0.383
NM_004499.3 285 277 0.549 0.610 0.519 0.589 0.435 0.621 0.105 0.189 0.211 0.158 0.186 0.291 0.305 0.375 0.168 0.432 0.249 0.330
NM_003563.3 374 354 0.480 0.506 0.469 0.527 0.382 0.532 0.211 0.289 0.257 0.190 0.211 0.254 0.262 0.329 0.211 0.337 0.171 0.278
NM_004586.2 740 711 0.410 0.293 0.465 0.542 0.368 0.320 0.169 0.295 0.370 0.216 0.209 0.130 0.289 0.338 0.309 0.326 0.158 0.191
NM_024100.3 432 414 0.656 0.879 0.551 0.641 0.442 0.884 0.146 0.299 0.065 0.315 0.218 0.479 0.213 0.259 0.051 0.326 0.225 0.405
NM_017836.3 487 467 0.572 0.683 0.520 0.595 0.425 0.696 0.148 0.378 0.166 0.275 0.236 0.361 0.257 0.197 0.138 0.320 0.189 0.335
NM_014170.2 284 277 0.471 0.477 0.468 0.549 0.373 0.489 0.169 0.342 0.239 0.236 0.201 0.232 0.282 0.285 0.271 0.313 0.173 0.257
NM_003663.3 167 165 0.471 0.436 0.488 0.575 0.395 0.443 0.144 0.240 0.329 0.263 0.234 0.198 0.281 0.365 0.228 0.311 0.162 0.246
NM_007157.3 803 789 0.605 0.670 0.573 0.614 0.524 0.676 0.159 0.217 0.191 0.278 0.293 0.369 0.227 0.259 0.133 0.336 0.232 0.308
NM_030573.2 309 302 0.639 0.715 0.602 0.641 0.553 0.722 0.168 0.181 0.126 0.343 0.298 0.388 0.191 0.265 0.152 0.298 0.256 0.333
NM_024117.3 486 473 0.462 0.495 0.446 0.508 0.368 0.508 0.167 0.263 0.259 0.222 0.210 0.261 0.325 0.368 0.233 0.286 0.158 0.247
NM_021184.3 294 282 0.620 0.621 0.620 0.690 0.534 0.636 0.139 0.231 0.194 0.327 0.255 0.255 0.170 0.235 0.170 0.364 0.279 0.381
NM_000837.1 371 360 0.599 0.781 0.513 0.582 0.429 0.787 0.218 0.299 0.121 0.310 0.272 0.504 0.199 0.272 0.092 0.272 0.156 0.283
NM_005962.4 228 222 0.506 0.518 0.500 0.553 0.434 0.531 0.140 0.224 0.219 0.276 0.193 0.259 0.307 0.342 0.250 0.276 0.241 0.272
NM_006570.4 313 298 0.514 0.691 0.432 0.508 0.329 0.706 0.179 0.332 0.192 0.233 0.166 0.367 0.313 0.339 0.102 0.275 0.163 0.339
NM_014145.4 120 118 0.497 0.568 0.463 0.508 0.408 0.575 0.200 0.342 0.283 0.225 0.242 0.383 0.292 0.250 0.142 0.283 0.167 0.192
NM_022149.4 307 294 0.586 0.704 0.531 0.619 0.423 0.717 0.121 0.254 0.156 0.257 0.205 0.293 0.261 0.322 0.127 0.362 0.218 0.423
NM_000455.4 433 417 0.614 0.856 0.499 0.587 0.393 0.861 0.139 0.268 0.072 0.256 0.199 0.432 0.275 0.339 0.067 0.330 0.194 0.430
NM_177401.4 468 457 0.700 0.840 0.633 0.662 0.594 0.844 0.130 0.199 0.083 0.338 0.344 0.489 0.207 0.207 0.073 0.325 0.250 0.355
NM_017797.3 525 515 0.669 0.878 0.567 0.636 0.490 0.880 0.130 0.257 0.067 0.238 0.290 0.499 0.234 0.253 0.053 0.398 0.200 0.381
NM_001206.2 244 237 0.607 0.738 0.543 0.578 0.496 0.746 0.172 0.180 0.148 0.275 0.275 0.414 0.250 0.324 0.107 0.303 0.221 0.332
NM_007279.2 475 457 0.606 0.788 0.521 0.611 0.413 0.796 0.128 0.267 0.135 0.278 0.211 0.415 0.261 0.320 0.069 0.333 0.202 0.381
NM_138457.2 667 645 0.642 0.786 0.573 0.666 0.466 0.793 0.112 0.220 0.111 0.367 0.288 0.405 0.222 0.313 0.096 0.298 0.178 0.388
NM_001921.2 178 169 0.457 0.533 0.422 0.438 0.376 0.556 0.202 0.275 0.264 0.129 0.191 0.264 0.360 0.348 0.180 0.309 0.185 0.292
NM_001328.2 440 429 0.651 0.834 0.562 0.666 0.448 0.839 0.107 0.280 0.102 0.284 0.252 0.466 0.227 0.273 0.059 0.382 0.195 0.373
NM_031216.3 360 338 0.449 0.355 0.492 0.472 0.481 0.394 0.203 0.239 0.369 0.164 0.250 0.178 0.325 0.281 0.236 0.308 0.231 0.217
NM_001013663.1 140 134 0.598 0.701 0.549 0.671 0.407 0.714 0.143 0.271 0.129 0.321 0.271 0.307 0.186 0.321 0.157 0.350 0.136 0.407
NM_032804.5 270 261 0.691 0.885 0.599 0.696 0.489 0.889 0.126 0.237 0.056 0.363 0.270 0.489 0.178 0.274 0.056 0.333 0.219 0.400
NM_004356.3 236 227 0.573 0.841 0.447 0.525 0.347 0.847 0.199 0.390 0.119 0.186 0.174 0.517 0.275 0.263 0.034 0.339 0.174 0.331
NM_005163.2 480 457 0.597 0.842 0.483 0.579 0.362 0.850 0.160 0.275 0.104 0.246 0.196 0.438 0.260 0.362 0.046 0.333 0.167 0.412
NM_002906.3 583 562 0.402 0.317 0.442 0.564 0.300 0.341 0.122 0.235 0.283 0.218 0.187 0.115 0.314 0.465 0.376 0.346 0.113 0.226
NM_001985.2 255 249 0.613 0.791 0.527 0.671 0.373 0.796 0.063 0.314 0.122 0.239 0.220 0.314 0.267 0.314 0.082 0.431 0.153 0.482
NM_006234.4 117 116 0.519 0.724 0.417 0.521 0.308 0.726 0.137 0.316 0.094 0.239 0.222 0.453 0.342 0.376 0.179 0.282 0.085 0.274
NM_015921.2 156 150 0.571 0.660 0.528 0.590 0.449 0.673 0.199 0.327 0.192 0.237 0.327 0.321 0.212 0.224 0.135 0.353 0.122 0.353
NM_002408.3 447 428 0.514 0.584 0.481 0.541 0.398 0.602 0.197 0.282 0.246 0.253 0.201 0.309 0.262 0.320 0.152 0.289 0.197 0.293
NM_005645.3 124 118 0.395 0.271 0.453 0.548 0.331 0.306 0.153 0.274 0.339 0.129 0.153 0.105 0.298 0.395 0.355 0.419 0.177 0.202
NM_153232.3 236 232 0.648 0.659 0.643 0.716 0.564 0.665 0.085 0.195 0.153 0.237 0.326 0.288 0.199 0.242 0.182 0.479 0.237 0.377
NM_177938.2 563 536 0.622 0.743 0.566 0.671 0.440 0.755 0.124 0.259 0.144 0.327 0.217 0.384 0.204 0.300 0.101 0.345 0.224 0.371
NM_015640.3 387 380 0.521 0.418 0.571 0.667 0.468 0.429 0.090 0.163 0.279 0.227 0.189 0.194 0.243 0.370 0.292 0.439 0.279 0.235
NM_006118.3 279 269 0.539 0.487 0.563 0.624 0.487 0.505 0.168 0.222 0.280 0.280 0.226 0.272 0.208 0.290 0.215 0.344 0.262 0.233
NM_031940.3 171 161 0.450 0.429 0.460 0.480 0.409 0.462 0.240 0.339 0.322 0.181 0.170 0.240 0.281 0.251 0.216 0.298 0.240 0.222
NM_014676.2 1186 1155 0.518 0.474 0.539 0.610 0.457 0.488 0.158 0.234 0.298 0.266 0.262 0.256 0.233 0.309 0.214 0.344 0.195 0.232
NM_020806.4 769 743 0.474 0.376 0.521 0.594 0.432 0.397 0.120 0.289 0.304 0.243 0.259 0.211 0.286 0.280 0.299 0.351 0.173 0.186
NM_145271.3 276 265 0.678 0.743 0.647 0.699 0.580 0.754 0.120 0.178 0.112 0.330 0.301 0.366 0.181 0.243 0.134 0.370 0.279 0.388
NM_002485.4 754 731 0.383 0.291 0.427 0.462 0.374 0.313 0.182 0.247 0.314 0.170 0.232 0.125 0.357 0.379 0.373 0.292 0.142 0.188
NM_018261.3 894 862 0.402 0.342 0.430 0.525 0.314 0.366 0.167 0.295 0.321 0.207 0.169 0.170 0.309 0.390 0.313 0.318 0.145 0.196
NM_194283.3 576 554 0.430 0.383 0.452 0.556 0.328 0.406 0.146 0.184 0.283 0.189 0.174 0.151 0.299 0.488 0.311 0.366 0.155 0.255
NM_006758.2 240 233 0.539 0.579 0.520 0.567 0.458 0.592 0.212 0.204 0.254 0.212 0.150 0.292 0.221 0.338 0.154 0.354 0.308 0.300
NM_014409.3 589 571 0.528 0.627 0.481 0.542 0.404 0.638 0.197 0.265 0.217 0.255 0.221 0.365 0.261 0.331 0.144 0.287 0.183 0.273
NM_001090.2 807 787 0.539 0.638 0.492 0.628 0.343 0.647 0.102 0.230 0.173 0.269 0.191 0.264 0.270 0.426 0.180 0.359 0.152 0.383
NM_006460.2 359 348 0.625 0.761 0.560 0.674 0.432 0.769 0.125 0.159 0.111 0.298 0.214 0.315 0.201 0.409 0.120 0.376 0.217 0.454
NM_001948.3 164 161 0.514 0.447 0.547 0.610 0.476 0.457 0.165 0.238 0.299 0.189 0.262 0.250 0.226 0.287 0.244 0.421 0.213 0.207
NM_031443.3 444 438 0.572 0.710 0.504 0.574 0.428 0.714 0.151 0.261 0.167 0.230 0.230 0.374 0.275 0.311 0.119 0.345 0.198 0.340
