ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15,TPM16,TPM17,TPM18,TPM19,TPM20,TPM21,TPM22,TPM23
ENSG00000168159 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171206 ,0.314182,,,,,,,,,,,,,,,,,,,,,,
ENSG00000172270 ,482.489685,5.09851,3.369666,0.161713,0.090162,0.013355,,,,,,,,,,,,,,,,,
ENSG00000172663 ,4.242349,0.21986,0.17874,0.145959,0.118857,0.040988,0.022527,0.021423,0.009014,0.000544,,,,,,,,,,,,,
ENSG00000173272 ,152.236588,0.48571,0.004544,,,,,,,,,,,,,,,,,,,,
ENSG00000175221 ,21.048157,2.125492,,,,,,,,,,,,,,,,,,,,,
ENSG00000176022 ,49.043919,,,,,,,,,,,,,,,,,,,,,,
ENSG00000177169 ,19.562916,0.755246,0.473139,0.404324,0.149458,0.014976,,,,,,,,,,,,,,,,,
ENSG00000178951 ,12.039058,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179010 ,158.593399,2.207252,,,,,,,,,,,,,,,,,,,,,
ENSG00000179886 ,9.712101,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179943 ,4.637691,0.155307,,,,,,,,,,,,,,,,,,,,,
ENSG00000180596 ,2.112456,,,,,,,,,,,,,,,,,,,,,,
ENSG00000181027 ,10.148612,0.283405,0.226206,0.191116,0.038734,,,,,,,,,,,,,,,,,,
ENSG00000181029 ,6.073014,0.577515,0.454063,,,,,,,,,,,,,,,,,,,,
ENSG00000181915 ,34.987793,,,,,,,,,,,,,,,,,,,,,,
ENSG00000182087 ,101.441338,13.56453,0.616687,0.370654,0.36352,0.150122,0.112038,0.001036,,,,,,,,,,,,,,,
ENSG00000182154 ,84.692253,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184207 ,31.24814,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184897 ,254.561768,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184900 ,18.161327,0.079032,,,,,,,,,,,,,,,,,,,,,
ENSG00000185129 ,9.270706,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185236 ,60.285213,0.191602,,,,,,,,,,,,,,,,,,,,,
ENSG00000185883 ,242.423279,,,,,,,,,,,,,,,,,,,,,,
ENSG00000186350 ,13.202198,,,,,,,,,,,,,,,,,,,,,,
ENSG00000187051 ,58.689869,0.292698,0.269758,0.036538,0.024554,,,,,,,,,,,,,,,,,,
ENSG00000188486 ,331.392914,,,,,,,,,,,,,,,,,,,,,,
ENSG00000189114 ,5.118709,,,,,,,,,,,,,,,,,,,,,,
ENSG00000197562 ,9.735007,0.046385,0.0247,0.000305,0.000211,,,,,,,,,,,,,,,,,,
ENSG00000203950 ,81.462746,4.162513,,,,,,,,,,,,,,,,,,,,,
ENSG00000213015 ,44.444504,0.464281,,,,,,,,,,,,,,,,,,,,,
ENSG00000213563 ,6.434444,0.208621,0.00802,,,,,,,,,,,,,,,,,,,,
ENSG00000214022 ,40.854927,4.682727,4.190979,0.120064,0.084809,0.016046,0.007826,,,,,,,,,,,,,,,,
ENSG00000214309 ,1.953009,,,,,,,,,,,,,,,,,,,,,,
ENSG00000224051 ,27.246861,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238158 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238227 ,53.968292,,,,,,,,,,,,,,,,,,,,,,
ENSG00000240972 ,1251.775757,2.627853,,,,,,,,,,,,,,,,,,,,,
ENSG00000247315 ,45.556187,,,,,,,,,,,,,,,,,,,,,,
ENSG00000250571 ,3.405791,0.485142,0.2113,0.083071,0.073865,0.016575,,,,,,,,,,,,,,,,,
ENSG00000254402 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000254901 ,6.620189,1.346371,1.321509,0.101133,0.011532,,,,,,,,,,,,,,,,,,
ENSG00000261221 ,7.243882,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274768 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274958 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000276701 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000277972 ,20.569515,0.018043,,,,,,,,,,,,,,,,,,,,,
ENSG00000278016 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000282092 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000285426 ,,,,,,,,,,,,,,,,,,,,,,,
