label                     Axis1      Axis2      Axis3      Axis4 
NM_006759.3          0.39290   -0.02135    0.01256    0.07229
NM_000454.4          0.19341    0.12647    0.09176    0.16505
NM_012300.2          0.16399    0.06018    0.00550    0.00953
NM_006936.2         -0.43196   -0.16966   -0.42075    0.18425
NM_001001795.1      -0.79645   -0.31224    0.25259    0.07630
NM_138417.2         -0.35177   -0.06061    0.19577   -0.01268
NM_016099.2          0.08833   -0.05509    0.06448   -0.17477
NM_006545.4         -0.40930    0.15022   -0.07035   -0.03174
NM_022060.2         -0.18289    0.12777    0.01252    0.00337
NM_016028.4          0.42475   -0.07930   -0.06241   -0.00096
NM_003678.4         -0.17450    0.05961   -0.11220   -0.02452
NM_017829.5         -0.36626    0.05197   -0.19660   -0.06111
NM_024072.3         -0.56526   -0.01401    0.02870   -0.02210
NM_004634.2         -0.32843    0.13702    0.01358    0.01683
NM_019103.2         -0.37951    0.15677   -0.26006    0.09160
NM_014628.2         -0.13770    0.03160    0.06129   -0.09900
NM_032431.2         -0.39374    0.20741    0.04032    0.14333
NM_001499.2         -0.09209    0.12835   -0.03463    0.02660
NM_002138.3          0.18375   -0.26600    0.09991   -0.09081
NM_001685.4          0.30346    0.11933   -0.25297   -0.02499
NM_080476.4         -0.09188    0.08004   -0.04307   -0.12411
NM_006805.3         -0.49234    0.00369    0.18103   -0.06160
NM_002105.2         -0.88639   -0.29783    0.49482    0.10372
NM_006986.3          0.02497    0.14845    0.01083    0.14613
NM_001533.2         -0.27515    0.03751   -0.03978   -0.06671
NM_017838.3         -0.32851    0.04242    0.16226    0.00157
NM_016496.4         -0.52340   -0.00566   -0.01818   -0.08122
NM_005112.4         -0.41592   -0.09977   -0.18203    0.04621
NM_004435.2        -0.72259   -0.17697    0.17125   -0.00058
NM_003400.3         0.56926   -0.04079    0.00569    0.04395
NM_018412.3         0.19991   -0.02263   -0.08518   -0.04463
NM_003352.4         0.52090   -0.04396   -0.22043    0.08876
NM_001007068.1      0.44309    0.11431    0.02261    0.02691
NM_006842.2        -0.09581    0.15898    0.09687   -0.16768
NM_020946.1        -0.23864   -0.01034   -0.13101    0.01985
NM_033089.6        -0.68592   -0.22073   -0.03008   -0.07044
NM_018321.3         0.44034   -0.03869   -0.00292   -0.04005
NM_004871.2         0.32365   -0.00926   -0.07049   -0.13616
NM_000994.3        -0.28131    0.11173   -0.16164    0.15860
NM_024707.2        -0.20276    0.18998    0.05150   -0.08153
NM_014955.2        -0.21135    0.07902   -0.10149   -0.11509
NM_004499.3        -0.10832   -0.04899    0.14498   -0.18004
NM_003563.3         0.00115    0.09360    0.07140    0.01410
NM_004586.2         0.53582    0.00970    0.10313   -0.06182
NM_024100.3        -0.69360   -0.15340    0.00866    0.10076
NM_017836.3        -0.22286    0.05217   -0.21343   -0.11839
NM_014170.2         0.12751   -0.19345    0.01632   -0.10972
NM_003663.3         0.27429    0.20564    0.06570    0.06886
NM_007157.3        -0.28617   -0.12026   -0.01529    0.02432
NM_030573.2        -0.38033    0.04415   -0.09004    0.02042
NM_024117.3         0.12973   -0.02099   -0.00669   -0.01145
NM_021184.3        -0.16936    0.09985   -0.12144    0.02328
NM_000837.1        -0.54431    0.15445    0.05200   -0.00258
NM_005962.4         0.01234    0.07587    0.06321   -0.15300
NM_006570.4        -0.36836   -0.00611    0.05864    0.01790
NM_014145.4        -0.19995    0.26706    0.05196    0.15574
NM_022149.4        -0.25886   -0.10177   -0.08289   -0.05401
NM_000455.4        -0.66258   -0.17339    0.00106   -0.07016
NM_177401.4        -0.67671   -0.07045    0.05778    0.01869
NM_017797.3        -0.72215   -0.16542    0.16565    0.06854
NM_001206.2        -0.46106   -0.04546   -0.00191   -0.07042
NM_007279.2        -0.51591    0.03158   -0.00747    0.01316
NM_138457.2        -0.51554    0.01681   -0.16536    0.03705
NM_001921.2         0.06623   -0.17383   -0.15945   -0.06781
NM_001328.2        -0.60866   -0.06456   -0.01197   -0.05494
NM_031216.3         0.41392    0.07334   -0.00595   -0.07568
NM_001013663.1     -0.20798   -0.03626    0.13804   -0.16861
NM_032804.5        -0.76952   -0.09599    0.06274   -0.09479
NM_004356.3        -0.70774    0.03791    0.05636    0.01618
NM_005163.2        -0.61820    0.07910    0.03962    0.14172
NM_002906.3         0.51876    0.10876    0.12617    0.04655
NM_001985.2        -0.49598    0.14574   -0.05980   -0.01169
NM_006234.4        -0.38434   -0.01554    0.12245   -0.17355
NM_015921.2        -0.26073   -0.00301    0.19762    0.19937
NM_002408.3        -0.07982   -0.03525   -0.06281   -0.05673
NM_005645.3         0.60950    0.01901   -0.02485   -0.04797
NM_153232.3        -0.19692   -0.35708   -0.03625    0.02872
NM_177938.2        -0.45606    0.01290    0.09486    0.04438
NM_015640.3         0.22973   -0.01032    0.22760    0.08913
NM_006118.3         0.11536    0.10792   -0.09917   -0.04061
NM_031940.3         0.27183    0.05339    0.03196   -0.05745
NM_014676.2         0.14699    0.13366    0.08992    0.01893
NM_020806.4         0.29516    0.13368    0.06306    0.01504
NM_145271.3        -0.51346   -0.06844   -0.13190   -0.03166
NM_002485.4         0.56428   -0.11502   -0.06494    0.04866
NM_018261.3         0.40696    0.06436    0.08935    0.01270
NM_194283.3         0.34550   -0.00645    0.06200   -0.05411
NM_006758.2        -0.15830   -0.01106    0.16327   -0.02320
NM_014409.3        -0.16291    0.08636   -0.01769   -0.00920
NM_001090.2        -0.22451    0.12057    0.01243   -0.05868
NM_006460.2        -0.51931   -0.12577    0.01049   -0.15709
NM_001948.3         0.07087   -0.06370   -0.00300   -0.12846
NM_031443.3        -0.32110   -0.06527   -0.08852    0.09994
NM_139281.2         0.43012   -0.01935    0.09125    0.01387
NM_007075.3        -0.35263    0.14562    0.19072    0.16917
NM_001128.5         0.31898    0.09032    0.05159   -0.12363
NM_017944.3         0.49008    0.02738   -0.02262   -0.00913
NM_001173.2         0.57876   -0.01077    0.02194    0.03165
NM_022734.2         0.09559    0.14807    0.05844    0.00457
NM_000382.2         0.16603    0.08935    0.07018   -0.12042
NM_013247.4        -0.14511    0.09211    0.02705   -0.06994
NM_005710.2        -0.24277    0.01971   -0.03054   -0.00986
NM_004501.3         0.23405   -0.07093    0.15320    0.00023
NM_015962.4         0.30116   -0.04296   -0.09418   -0.01745
NM_033420.3        -0.80398   -0.08410    0.20429    0.10160
NM_001033088.1     -0.01016   -0.10893   -0.07639   -0.08033
NM_006369.4        -0.15985    0.18148    0.05930   -0.01141
NM_020889.2        -0.11277   -0.00076   -0.10290   -0.05821
NM_002745.4         0.02236   -0.05256    0.01500    0.12604
NM_001324.2         0.17207   -0.03884    0.06199    0.07706
NM_016494.3        -0.06077   -0.02968   -0.06731   -0.03201
NM_016589.3         0.23688   -0.00201    0.17807   -0.08150
NM_015035.3        -0.08064    0.05973   -0.12080   -0.01954
NM_003252.3         0.55565   -0.08110    0.08598   -0.02958
NM_176867.3         0.17309   -0.14338    0.36081    0.11532
NM_015636.3         0.03483    0.19892    0.01351   -0.12797
NM_002810.2        -0.08878    0.22973    0.12554   -0.07769
NM_001035505.1     -0.00004   -0.22101   -0.08232    0.11058
NM_003001.3         0.05291    0.20908    0.10873    0.00673
NM_001033583.2      0.26109   -0.06769   -0.05804   -0.12299
NM_153681.2         0.30113   -0.28514   -0.00504    0.01968
NM_003751.3        -0.23700   -0.12425   -0.01680   -0.05421
NM_001207.4         0.25926   -0.04966    0.01945    0.21582
NM_001568.2         0.41967   -0.00047    0.00434    0.03587
NM_030579.2        -0.02552   -0.06722    0.18554    0.10130
NM_002911.3        -0.52964   -0.09139    0.02329    0.02875
NM_018279.3         0.29092    0.03316   -0.04458    0.12751
NM_001039697.1      0.15450   -0.11266   -0.06120   -0.02672
NM_006643.3        -0.22677   -0.17398    0.01336   -0.05793
NM_006706.3         0.39372    0.01855    0.07299   -0.03873
NM_025141.3        -0.11773   -0.05549    0.09355    0.03472
NM_004493.2        -0.21566    0.17687    0.17144   -0.13759
NM_017765.2        -0.66480   -0.04433   -0.10725    0.02177
NM_018396.2         0.08921   -0.06704    0.01660   -0.10565
NM_020233.4         0.38071   -0.01979   -0.08493   -0.00052
NM_024715.3         0.13145   -0.00758    0.04931   -0.08117
NM_004607.2         0.15842    0.09060    0.01300    0.20282
NM_018233.3         0.07013    0.00059   -0.02253   -0.05115
NM_006251.5         0.42693   -0.01317   -0.03212    0.01370
NM_003574.5         0.33370   -0.12768   -0.10948   -0.00486
NM_032558.2         0.07177   -0.18526   -0.02057   -0.03795
NM_032560.4         0.40897   -0.00262    0.09760   -0.07754
NM_017670.2        -0.52056    0.01126    0.02785   -0.12550
NM_001605.2        -0.12009    0.12137   -0.07361   -0.09580
NM_152734.3         0.09944   -0.02346   -0.13345    0.17249
NM_152455.3         0.16746    0.02911   -0.12125   -0.02670
NM_017856.2        -0.06917    0.05292   -0.01906    0.00589
NM_002643.3         0.59253   -0.22722   -0.06305    0.17359
NM_006819.2        -0.15593    0.12420   -0.04213   -0.15091
NM_006954.1         0.41187   -0.09757   -0.19253    0.08486
NM_005701.3         0.02375    0.07518   -0.07946    0.07577
NM_017580.2         0.43438    0.02368    0.01966   -0.02166
NM_032226.2         0.31111   -0.03216   -0.02071    0.09775
NM_003185.3        -0.27431   -0.27623    0.01950   -0.12595
NM_015514.1         0.20079    0.22904    0.14175   -0.08050
NM_016018.4         0.45954    0.03634    0.07108    0.03160
NM_014042.2        -0.05106    0.29685    0.27667   -0.10558
NM_005216.4        -0.34499    0.07931   -0.07304   -0.04151
NM_018293.2         0.60123   -0.08423   -0.05150    0.03059
NM_014299.2        -0.29191    0.01500   -0.04069    0.02067
NM_032193.3        -0.53189   -0.18045    0.22877    0.01967
NM_014507.3        -0.53494   -0.33173    0.32150   -0.07827
NM_004427.3        -0.34055    0.17375    0.08757    0.02853
NM_003000.2        -0.00522    0.10839    0.01216    0.10608
NM_000696.3         0.16787    0.00010    0.03659    0.00928
NM_023923.3         0.28180    0.03338   -0.04274   -0.03465
NM_004859.3         0.38161    0.14067    0.12223    0.05375
NM_020642.3         0.07109   -0.06835    0.01324    0.08212
NM_032683.2        -0.58447   -0.09621    0.19209   -0.03783
NM_007171.3        -0.29117   -0.06085   -0.13117   -0.02849
NM_001042371.2     -0.73288   -0.02623    0.13662    0.12787
NM_001013657.2     -0.15536    0.17495   -0.07552   -0.03855
NM_018107.4         0.08731    0.29684    0.09717   -0.10155
NM_182972.2        -0.49945   -0.22129    0.04495    0.07110
NM_018149.6         0.27776    0.05458   -0.03272   -0.08435
NM_020195.2        -0.25094    0.11616    0.08222    0.14247
NM_004500.3         0.17078    0.18470    0.08897    0.00768
NM_014803.3         0.65735   -0.09127   -0.01428    0.04812
NM_014739.2         0.46820    0.03121   -0.01281    0.09959
NM_001077637.1      0.20761   -0.08728   -0.03874    0.09938
NM_024740.2         0.17513    0.02576   -0.02273   -0.10255
NM_001078172.1     -0.74667   -0.08762   -0.09357   -0.15177
NM_003192.2        -0.38985   -0.09494   -0.03615   -0.06113
NM_177452.3         0.37761   -0.11318   -0.05124   -0.16604
NM_203390.2         0.43986   -0.01188   -0.00925    0.03830
NM_006452.3         0.48623   -0.02570   -0.04498   -0.04278
NM_005153.2         0.09394    0.00552    0.01676    0.01274
NM_004459.6         0.29974   -0.01355   -0.02020   -0.05915
NM_032364.5         0.12889    0.14415   -0.08535   -0.03281
NM_004328.4        -0.17387    0.14052    0.00631    0.02788
NM_003588.3         0.39936   -0.09406   -0.00411    0.09632
NM_001080452.1     -0.56826   -0.02353   -0.08623   -0.05370
NM_004819.2        -0.52292    0.01731    0.05033    0.04666
NM_017974.3         0.06452    0.02420    0.01348   -0.01056
NM_014866.1        -0.02683   -0.05637   -0.08633    0.01736
NM_016484.4        -0.00071    0.18549    0.02641    0.02414
NM_013329.3         0.29997   -0.05301    0.11705   -0.04614
NM_015167.2        -0.13847   -0.12365   -0.09377    0.04361
NM_016287.3         0.22561   -0.02703   -0.10723    0.10833
NM_015836.3        -0.07973    0.01340    0.20549    0.05154
NM_014789.3         0.08108   -0.13279   -0.14993    0.06912
NM_021994.2         0.38632   -0.03987   -0.07965    0.03699
NM_014982.2         0.27083    0.07554    0.00107   -0.04736
NM_002270.3         0.39992    0.09313    0.11270    0.05980
NM_002804.4        -0.32843   -0.00307   -0.01943   -0.06223
NM_005930.3         0.61386   -0.06278   -0.01643    0.00151
NM_004685.3         0.38633   -0.01106   -0.03575    0.01498
NM_006197.3         0.58422   -0.03496    0.00874    0.04480
NM_194280.3        -0.16692    0.05560   -0.24248    0.06653
NM_001083614.1     -0.34428    0.04013   -0.08293    0.04098
NM_003683.5        -0.34851   -0.10951   -0.07596    0.06714
NM_014574.3         0.44677   -0.14766    0.04454   -0.16683
NM_017787.4        -0.24088    0.06648   -0.07197   -0.02749
NM_017706.4        -0.20085    0.17523    0.01857    0.03360
NM_007282.4         0.49612   -0.08248   -0.02448    0.13927
NM_001039590.2      0.48454    0.02545    0.08574    0.03629
NM_015601.3         0.49763   -0.05616   -0.06458    0.03775
NM_018139.2        -0.18110   -0.19780    0.16130   -0.06037
NM_022495.5         0.50982    0.00612    0.02635    0.07628
NM_001085458.1      0.09113    0.13659    0.09144   -0.05358
NM_021090.3         0.02450    0.09011   -0.09232    0.05961
NM_032125.2        -0.57493   -0.24962    0.06535   -0.03867
NM_014551.4        -0.42543   -0.03607   -0.21298    0.14847
NM_004966.3        -0.07068   -0.03582   -0.27730    0.02187
NM_020727.4         0.21871   -0.06270   -0.01267    0.06979
NM_004087.2         0.49557    0.04498    0.07457   -0.04722
NM_019054.2         0.55917   -0.08010   -0.03141    0.05793
NM_152383.4        -0.15597    0.01116    0.02125    0.07909
NM_030912.2        -0.69916   -0.19516    0.10374    0.02309
NM_018358.2        -0.23411    0.09258   -0.03163    0.03592
NM_024691.3         0.29849   -0.07031   -0.20889    0.11410
NM_144636.2         0.15695   -0.04599   -0.15628   -0.03202
NM_003481.2        -0.34928    0.04219   -0.06440   -0.13925
NM_006410.4         0.16113    0.00367   -0.01761    0.07416
NM_003457.3         0.58303    0.00296    0.16147    0.05169
NM_004639.3        -0.11642    0.16463   -0.02849   -0.12975
NM_021934.4        -0.51042    0.12829    0.13902    0.11352
NM_021215.3         0.05290    0.07465    0.12162    0.02999
NM_013318.3        -0.19022    0.02472   -0.05134   -0.04285
NM_032127.3        -0.16374    0.26582    0.00196   -0.02787
NM_020218.1        -0.19754   -0.02044    0.03370   -0.07106
NM_015038.1         0.29647   -0.02107   -0.21350    0.09409
NM_022489.3        -0.56975    0.06824   -0.07016    0.02301
NM_012412.4         0.10778    0.16510    0.22153    0.21514
NM_001689.4         0.26517    0.02355   -0.10898    0.05458
NM_004491.4         0.03656    0.04649   -0.07844   -0.05360
NM_001099402.1      0.02548    0.08801    0.03009    0.03268
NM_003969.3        -0.56764   -0.27680    0.15512   -0.24080
NM_173620.2        -0.33679   -0.10301   -0.18414    0.06111
NM_053041.2         0.00597   -0.15590    0.04718    0.00789
NM_016068.2        -0.56012    0.05526   -0.00935   -0.11687
NM_020151.3        -0.12481   -0.00181    0.13931   -0.04457
NM_014247.2         0.29941    0.00872   -0.05616   -0.00081
NM_021241.2        -0.50743    0.09563    0.04521   -0.01361
NM_152440.4        -0.13472   -0.04998   -0.01005    0.03276
NM_019557.5         0.04805    0.03098   -0.07858    0.01651
NM_001987.4        -0.12952   -0.03180   -0.08231   -0.05278
NM_005138.2        -0.36077    0.11611   -0.11965    0.04424
NM_032731.3         0.00840    0.07872    0.01338   -0.05341
NM_001099692.1      0.01116    0.24871    0.16172    0.24467
NM_024945.2         0.69404   -0.07615   -0.00224    0.00963
NM_024054.2         0.34935   -0.03027   -0.06562    0.08052
NM_018348.5         0.46029    0.02218   -0.04014    0.01015
NM_013400.3        -0.64232   -0.02359    0.05098    0.01522
NM_007145.2         0.31392   -0.05234   -0.20552    0.09635
NM_001205.2        -0.06693    0.00593   -0.10262   -0.04158
NM_006839.2         0.29916    0.06054    0.09734    0.05023
NM_003685.2        -0.26178   -0.02701   -0.00689   -0.06109
NM_017822.3         0.21407    0.18797    0.08412    0.00453
NM_001100418.1     -0.62593   -0.31757    0.14710    0.03705
NM_015666.3        -0.32594   -0.09968   -0.04319    0.03181
NM_153369.2         0.38841    0.01597    0.00832    0.00763
NM_175918.3        -0.02513    0.04635    0.31017    0.03911
NM_002650.2        -0.48655    0.02689   -0.01370    0.00465
NM_013235.4         0.21130   -0.03958    0.00241   -0.01954
NM_003680.3        -0.07225    0.10771   -0.05791   -0.13328
NM_002384.2        -0.16375    0.09023    0.02305    0.00827
NM_014593.3        -0.33582    0.10880    0.08200    0.00518
NM_002137.3         0.59206    0.04978   -0.03259    0.06893
NM_025073.2         0.08860   -0.24453   -0.05574   -0.23285
NM_000380.3         0.30201   -0.22030    0.19774   -0.27864
NM_003115.4         0.33912    0.14511    0.08845   -0.04428
NM_002812.4        -0.47420    0.02644   -0.05601   -0.02410
NM_014920.3         0.17394    0.00547   -0.14483    0.01709
NM_052870.2        -0.65663   -0.28157    0.19790    0.17370
NM_006413.4         0.43192   -0.07267   -0.00088    0.00079
NM_014887.2         0.61949   -0.01163    0.02391    0.06630
NM_001080501.2     -0.31396    0.07075    0.07348   -0.04847
NM_017956.3         0.16475    0.04569    0.02128   -0.06113
NM_015885.3         0.57204   -0.01896    0.01590   -0.06311
NM_024742.2        -0.41142    0.02161    0.13785   -0.00358
NM_000179.2         0.32642    0.02607    0.00792    0.02142
NM_014758.2         0.03288    0.15833    0.01167    0.06145
NM_014520.3        -0.50195    0.02891   -0.04099   -0.00962
NM_014155.4         0.32886    0.08563    0.09331   -0.03310
NM_006930.3         0.26051    0.13350    0.22919    0.05884
NM_004992.3        -0.26834    0.03387   -0.09232    0.01402
NM_001261.3        -0.51861    0.10994   -0.03889    0.11333
NM_003169.3        -0.39798    0.11215    0.02369    0.01482
NM_004550.4         0.02628    0.20786   -0.04561   -0.20661
NM_000268.3        -0.11732    0.00247   -0.11300    0.03630
NM_006384.3        -0.39347    0.00253   -0.10656   -0.04632
NM_001113202.1      0.24634    0.00909   -0.02217   -0.23142
NM_000107.2        -0.18539    0.01727   -0.15259    0.04868
NM_014742.3        -0.35907    0.10715   -0.02105   -0.05503
NM_001113363.1      0.06332    0.02846   -0.04399   -0.03383
NM_024571.3        -0.32960   -0.15481   -0.02005   -0.03042
NM_002764.3         0.11265    0.04949    0.00259    0.04968
NM_007103.3        -0.39263    0.07074    0.13783   -0.03175
NM_181725.3         0.10803   -0.06186    0.00385   -0.07864
NM_015453.2         0.49245    0.02123    0.02412    0.09678
NM_015578.2         0.41969   -0.00956    0.05963    0.07446
NM_014415.3         0.41174    0.00848    0.12586   -0.07279
NM_003443.2        -0.58872   -0.02280    0.05540    0.06169
NM_000416.2         0.45815   -0.15544   -0.08614    0.05645
NM_001698.2         0.17330   -0.15534    0.01087   -0.11717
NM_022061.3        -0.22260    0.03387    0.02874    0.01461
NM_014175.3         0.32260    0.03813    0.01297    0.02394
NM_024540.3        -0.05755    0.14257   -0.06703   -0.04265
NM_178336.2         0.08518   -0.09068   -0.12667    0.08067
NM_181441.2        -0.49268    0.11670   -0.00657    0.07739
NM_016491.3        -0.15702   -0.01305    0.05746    0.04149
NM_002755.3        -0.09223   -0.04081   -0.19038    0.11535
NM_002294.2         0.26559    0.00210    0.06357    0.10433
NM_016567.3         0.28455   -0.12637    0.04252    0.00971
NM_016055.5         0.15253    0.02537   -0.16747   -0.00321
NM_000252.2         0.39090   -0.00562    0.03251   -0.01268
NM_002454.2         0.30317   -0.07409   -0.01266    0.03366
NM_001122672.1     -0.44525    0.13307   -0.05063    0.11656
NM_006502.2         0.23274    0.13442    0.09113    0.05626
NM_016176.3        -0.59043   -0.12589   -0.09467    0.00071
NM_003011.3         0.30504   -0.25308    0.01694    0.10403
NM_012087.3        -0.42614    0.03327   -0.09948   -0.00997
NM_015929.3         0.48146   -0.06347   -0.07010    0.04708
NM_002973.3         0.21292   -0.15295    0.08098   -0.04576
NM_001123040.1     -0.23124   -0.25516    0.04298   -0.08612
NM_022455.4         0.29267    0.04627   -0.01515    0.01822
NM_014950.2         0.50931   -0.04987   -0.02583   -0.00019
NM_012123.3         0.27689    0.07207    0.11566   -0.04357
NM_002721.4         0.44098   -0.00321    0.14931   -0.08994
NM_005520.2         0.36605   -0.12767   -0.08697    0.04482
NM_003850.2         0.42917   -0.03084   -0.02458   -0.06181
NM_032382.4        -0.39151   -0.00799    0.12789    0.02575
NM_015084.2         0.22273    0.01183   -0.09516   -0.03916
NM_005830.3         0.37567   -0.07766    0.04497   -0.04407
NM_004337.2         0.52940   -0.04633    0.13735    0.00475
NM_016071.3         0.20471    0.18480   -0.02086    0.05310
NM_001105.4         0.08355   -0.00650   -0.04367    0.07931
NM_030662.3        -0.61382   -0.10980   -0.11317   -0.09641
NM_002693.2        -0.33302    0.06535   -0.04502    0.06306
NM_003331.4        -0.47677    0.06869   -0.06566   -0.01354
NM_003418.4         0.18729    0.12080    0.15193    0.12118
NM_014140.3        -0.07213    0.01792   -0.08794    0.12222
NM_006224.3        -0.01919    0.03751   -0.06177   -0.04376
NM_017900.2        -0.55566   -0.15303   -0.05754    0.05838
NM_019594.3        -0.76647   -0.12238    0.08398   -0.01863
NM_138385.3        -0.60865    0.04061    0.10980    0.00705
NM_018077.2         0.11208   -0.01707   -0.01161    0.02725
NM_015384.4         0.55054   -0.00742    0.00748   -0.00958
NM_000434.3        -0.27140    0.06924   -0.04539   -0.10004
NM_002880.3         0.08135    0.05793   -0.03450   -0.02453
NM_001128144.1      0.63727    0.01022    0.16622    0.02645
NM_032822.2        -0.29349    0.18077   -0.07458   -0.08607
NM_018289.3        -0.07649    0.05432   -0.05063    0.10387
NM_153331.3         0.14718    0.08896   -0.01373   -0.13952
NM_018109.3         0.33658    0.00000   -0.04162   -0.04400
NM_024326.3        -0.64717   -0.17220    0.15215   -0.03044
NM_014977.3         0.11167    0.09600   -0.02128   -0.03329
NM_018241.2         0.46660   -0.08170   -0.15559    0.03224
NM_017622.2        -0.56043   -0.13033    0.12299   -0.02247
NM_001128591.1     -0.57002   -0.16132   -0.10997    0.19764
NM_173348.1         0.33800    0.00272   -0.04883   -0.04169
NM_002577.4         0.30444    0.05611    0.00141   -0.08284
NM_003072.3        -0.54270   -0.01760    0.03116    0.04523
NM_005016.5         0.00273    0.06579   -0.02624   -0.00387
NM_006114.2        -0.47945   -0.07917   -0.10991   -0.19450
NM_005871.3         0.55649   -0.02338   -0.08134    0.07581
NM_138496.1        -0.56826    0.02637   -0.01334    0.07563
NM_002766.2        -0.07942   -0.08069    0.12453    0.15436
NM_003992.4        -0.35181    0.14689   -0.08381    0.01460
NM_003624.2        -0.18939   -0.04410   -0.07356   -0.03818
NM_005528.3        -0.38351    0.10012   -0.10769    0.02485
NM_013333.3        -0.54831   -0.00989    0.02725    0.04299
NM_005548.2         0.00152    0.04723    0.00677    0.00513
NM_031213.3        -0.76780   -0.15428    0.11836    0.29738
NM_020781.3        -0.08049    0.13070    0.01090    0.09238
NM_002041.4         0.56812    0.04790    0.13526   -0.06367
NM_032493.3        -0.67264    0.07135    0.06657    0.00948
NM_006620.3         0.45052    0.04649    0.08859   -0.06445
NM_000117.2        -0.32062    0.08271   -0.03433    0.20428
NM_003861.2        -0.10253    0.12242   -0.04026    0.01508
NM_003729.3         0.40456   -0.06691    0.05446   -0.13984
NM_003971.5         0.32705    0.02301    0.07259   -0.02114
NM_000400.3        -0.55656    0.08321   -0.05769    0.02300
